record_type,current_path,filename,document_id,title,version,status,classification,normative_role,semantic_owner,brand_era,canonical_state,dependencies,supersedes,superseded_by,target_class,target_path,recommended_action,duplicate_of,migration_risk,sprint,evidence_basis,notes
FILE,DOCS/CAW/AMS/AMS-0202.md,AMS-0202.md,N/A,AMS-0202 — Establish `@zyppi/domain` Workspace Package,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,** IT-0108 ☑ and AMS-0201 merged,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0202.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 6198 bytes, SHA256 c43e508486b8..."
FILE,DOCS/CAW/AMS/AMS-0203.md,AMS-0203.md,N/A,AMS-0203 — Create `packages/contracts`,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,"** IT-0108 ☑, AMS-0201 merged",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0203.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 8239 bytes, SHA256 e5422f6521d5..."
FILE,DOCS/CAW/AMS/AMS-0204.md,AMS-0204.md,N/A,AMS-0204 — Create `packages/shared`,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,"** IT-0108 ☑, AMS-0201 merged, AMS-0202 complete, AMS-0203 complete",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0204.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 9008 bytes, SHA256 390eaaeeb118..."
FILE,DOCS/CAW/AMS/AMS-0205.md,AMS-0205.md,N/A,AMS-0205 — Create `packages/testing`,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,"** IT-0108 ☑, AMS-0201 merged, AMS-0202 complete, AMS-0203 complete, AMS-0204 complete",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0205.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 9964 bytes, SHA256 9d93025d0b19..."
FILE,DOCS/CAW/AMS/AMS-0206.md,AMS-0206.md,N/A,AMS-0206 — Create `apps/api`,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,"** IT-0108 ☑, AMS-0201 merged, AMS-0202 complete, AMS-0203 complete, AMS-0204 complete, AMS-0205 complete",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0206.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 12518 bytes, SHA256 b46cd14c5ace..."
FILE,DOCS/CAW/AMS/AMS-0207.md,AMS-0207.md,N/A,AMS-0207.md,N/A,** Ready for execution,** Application scaffold / Experience-layer topology only,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0207.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 9901 bytes, SHA256 2e16c45d36dc..."
FILE,DOCS/CAW/AMS/AMS-0208.md,AMS-0208.md,N/A,AMS-0208 — Constitutional Dependency Graph Validator,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,** IT-0201–IT-0207 — all complete,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0208.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 28383 bytes, SHA256 af76482feee8..."
FILE,DOCS/CAW/AMS/AMS-0301-Identity-Model-Implementation-Notes.md,AMS-0301-Identity-Model-Implementation-Notes.md,N/A,AMS-0301 — Identity Domain Model Implementation Notes,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0301-Identity-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 2203 bytes, SHA256 e8cb635a99f6..."
FILE,DOCS/CAW/AMS/AMS-0301-audit.md,AMS-0301-audit.md,N/A,AMS-0301 — Identity Domain Model Source Audit,N/A,** Open-ended string (,N/A,N/A,N/A,N/A,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0301-audit.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 3477 bytes, SHA256 94400f3cd06f..."
FILE,DOCS/CAW/AMS/AMS-0301.md,AMS-0301.md,N/A,AMS-0301.md,N/A,☐ Planned**,N/A,N/A,N/A,N/A,IMPLEMENTATION,IT-0202 (☑) · Status: ☐ Planned**,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0301.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 5730 bytes, SHA256 e8136226d6b2..."
FILE,DOCS/CAW/AMS/AMS-0302-PREP.md,AMS-0302-PREP.md,N/A,AMS-0302 — GS1 / Referent Domain Scope Reconciliation & Implementation Preparation,N/A,** PREPARATION / NO IMPLEMENTATION AUTHORIZED,N/A,N/A,N/A,N/A,IMPLEMENTATION,"** IT-0202 ☑, IT-0301 ☑ · **Status:** PREPARATION / NO IMPLEMENTATION AUTHORIZED",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0302-PREP.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW milestone prep/plan artifact,"File size 12182 bytes, SHA256 44e79442fccf..."
FILE,DOCS/CAW/AMS/AMS-0302.md,AMS-0302.md,N/A,AMS-0302 — GS1 Identifier & Referent Domain Model,N/A,** ☐ Planned,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,"** IT-0202 ☑, IT-0301 ☑ · **Status:** ☐ Planned",N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0302.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 19428 bytes, SHA256 8297a1196f46..."
FILE,DOCS/CAW/AMS/AMS-0303-Evidence-Model-Implementation-Notes.md,AMS-0303-Evidence-Model-Implementation-Notes.md,N/A,AMS-0303 — Evidence Domain Model Implementation Notes,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0303-Evidence-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 3657 bytes, SHA256 656c7b0550b7..."
FILE,DOCS/CAW/AMS/AMS-0303.md,AMS-0303.md,N/A,AMS-0303 — Evidence Domain Model,N/A,** ☐ Planned,N/A,N/A,N/A,N/A,IMPLEMENTATION,** IT-0202 (☑) · **Status:** ☐ Planned,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0303.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 18674 bytes, SHA256 f2529f301f7b..."
FILE,DOCS/CAW/AMS/AMS-0304-Authority-Model-Implementation-Notes.md,AMS-0304-Authority-Model-Implementation-Notes.md,N/A,AMS-0304 — Authority Domain Model Implementation Notes,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0304-Authority-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 2629 bytes, SHA256 117f6120f4c0..."
FILE,DOCS/CAW/AMS/AMS-0304.md,AMS-0304.md,N/A,AMS-0304 — Authority Domain Model,N/A,** ☐ Planned,N/A,N/A,N/A,N/A,IMPLEMENTATION,** IT-0202 (☑) · **Status:** ☐ Planned,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0304.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 12288 bytes, SHA256 cd0b5512097e..."
FILE,DOCS/CAW/AMS/AMS-0305-Capability-Model-Implementation-Notes.md,AMS-0305-Capability-Model-Implementation-Notes.md,N/A,AMS-0305 — Capability Domain Model Implementation Notes,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0305-Capability-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 3619 bytes, SHA256 8f605dea2718..."
FILE,DOCS/CAW/AMS/AMS-0305-Capability-Model.md,AMS-0305-Capability-Model.md,N/A,AMS-0305 — Capability Domain Model,N/A,** ☐ Planned,N/A,N/A,N/A,N/A,IMPLEMENTATION,** IT-0202 (☑) · **Status:** ☐ Planned,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0305-Capability-Model.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 8880 bytes, SHA256 6e759ba52424..."
FILE,DOCS/CAW/AMS/AMS-0306-Standing-Model-Implementation-Notes.md,AMS-0306-Standing-Model-Implementation-Notes.md,N/A,AMS-0306 Standing Model Implementation Notes,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0306-Standing-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 4528 bytes, SHA256 c6c55e31c3fa..."
FILE,DOCS/CAW/AMS/AMS-0306-Standing-Model.md,AMS-0306-Standing-Model.md,N/A,AMS-0306 — Standing Domain Model,N/A,** ☐ Planned,N/A,N/A,N/A,N/A,IMPLEMENTATION,** IT-0202 (☑) · **Status:** ☐ Planned,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0306-Standing-Model.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 8815 bytes, SHA256 d56e08f72161..."
FILE,DOCS/CAW/AMS/AMS-0307-Policy-Model-Implementation-Notes.md,AMS-0307-Policy-Model-Implementation-Notes.md,N/A,AMS-0307 — Policy Model Implementation Notes,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0307-Policy-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 4644 bytes, SHA256 1fd2998fc389..."
FILE,DOCS/CAW/AMS/AMS-0307-Policy-Model.md,AMS-0307-Policy-Model.md,N/A,AMS-0307 — Policy Domain Model,N/A,** ☐ Planned,N/A,N/A,N/A,N/A,IMPLEMENTATION,** IT-0202 (☑) · **Status:** ☐ Planned,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0307-Policy-Model.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 12791 bytes, SHA256 f6b60421144d..."
FILE,DOCS/CAW/AMS/AMS-0308-ExecutionRequest-Model-Implementation-Notes.md,AMS-0308-ExecutionRequest-Model-Implementation-Notes.md,N/A,AMS-0308 — ExecutionRequest Domain Model Implementation Notes,N/A,** IMPLEMENTED AND VERIFIED,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0308-ExecutionRequest-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 8735 bytes, SHA256 230608265ff3..."
FILE,DOCS/CAW/AMS/AMS-0308-PREP.md,AMS-0308-PREP.md,N/A,AMS-0308-PREP — ExecutionRequest Domain Model Implementation Preparation,N/A,** PREPARATION / NO IMPLEMENTATION AUTHORIZED,N/A,N/A,N/A,N/A,IMPLEMENTATION,** IT-0301 through IT-0307 · **Status:** PREPARATION / NO IMPLEMENTATION AUTHORIZED,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0308-PREP.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW milestone prep/plan artifact,"File size 35121 bytes, SHA256 acb379a3f386..."
FILE,DOCS/CAW/AMS/AMS-0308.md,AMS-0308.md,N/A,AMS-0308.md,N/A,** IMPLEMENTATION AUTHORIZED,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,** IT-0301 through IT-0307,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0308.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 16774 bytes, SHA256 08a45cd053c2..."
FILE,DOCS/CAW/AMS/AMS-0309-ExecutionContext-Model-Implementation-Notes.md,AMS-0309-ExecutionContext-Model-Implementation-Notes.md,N/A,AMS-0309 — ExecutionContext Domain Model Implementation Notes,N/A,** IMPLEMENTED AND VERIFIED,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0309-ExecutionContext-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 6087 bytes, SHA256 00fdcf594bf1..."
FILE,DOCS/CAW/AMS/AMS-0309.md,AMS-0309.md,N/A,AMS-0309.md,N/A,N/A,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0309.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 0 bytes, SHA256 e3b0c44298fc..."
FILE,DOCS/CAW/AMS/AMS-0310-ExecutionReceipt-Model-Implementation-Notes.md,AMS-0310-ExecutionReceipt-Model-Implementation-Notes.md,N/A,AMS-0310 — ExecutionReceipt Domain Model Implementation Notes,string,** IMPLEMENTED AND VERIFIED,N/A,N/A,N/A,N/A,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0310-ExecutionReceipt-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 7396 bytes, SHA256 9be8e7d651d3..."
FILE,DOCS/CAW/AMS/AMS-0310.md,AMS-0310.md,N/A,AMS-0310 — ExecutionReceipt Domain Model,N/A,** AUTHORIZED FOR IMPLEMENTATION,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0310.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 16115 bytes, SHA256 a3bebb9d24b7..."
FILE,DOCS/CAW/AMS/AMS-0311-Outcome-Model-Implementation-Notes.md,AMS-0311-Outcome-Model-Implementation-Notes.md,N/A,AMS-0311 — Outcome Model Implementation Notes,N/A,** COMPLETE (RESOLVED BY IMPLEMENTATION),N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0311-Outcome-Model-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 6826 bytes, SHA256 913f5a0a3b16..."
FILE,DOCS/CAW/AMS/AMS-0311-PREP.md,AMS-0311-PREP.md,N/A,AMS-0311-PREP — Outcome Domain Model Constitutional Discovery & Scope Resolution,N/A,** ☐ PREP — DISCOVERY ONLY; NOT AUTHORIZED FOR IMPLEMENTATION,N/A,N/A,N/A,N/A,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0311-PREP.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW milestone prep/plan artifact,"File size 24042 bytes, SHA256 e00756655446..."
FILE,DOCS/CAW/AMS/AMS-0313-F0301-Adjudication-Report.md,AMS-0313-F0301-Adjudication-Report.md,N/A,AMS-0313 — F-0301 Public-Boundary Test and Dependency-Graph Adjudication Report,N/A,** **INVESTIGATION COMPLETE — PENDING RATIFICATION**,N/A,"** M03 Closure Audit, F-0301, CAW-004, CAW-011, CEngS-003 §3",N/A,Zyppi,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0313-F0301-Adjudication-Report.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 22509 bytes, SHA256 08329a936740..."
FILE,DOCS/CAW/AMS/AMS-0405-Field-Mapping-Reconciliation.md,AMS-0405-Field-Mapping-Reconciliation.md,N/A,AMS-0405-RECON — ExecutionReceipt Field-Mapping Reconciliation,string,N/A,** Factual Audit / Read-Only Reconciliation Report,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0405-Field-Mapping-Reconciliation.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 17427 bytes, SHA256 7db6a146180b..."
FILE,DOCS/CAW/AMS/AMS-0405-Implementation-Notes.md,AMS-0405-Implementation-Notes.md,N/A,AMS-0405 — Runtime Receipt-Stage Deferral and Preparatory State,N/A,** COMPLETED AND VERIFIED,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0405-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 7074 bytes, SHA256 2b99059b0dce..."
FILE,DOCS/CAW/AMS/AMS-0405-PREP.md,AMS-0405-PREP.md,N/A,JULES MANDATE — AMS-0405 PRE-IMPLEMENTATION SOURCE AUDIT,string,"** COMPLETED READ-ONLY AUDIT | **Report Date:** March 9, 2025",N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0405-PREP.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW milestone prep/plan artifact,"File size 16386 bytes, SHA256 b513dcc3954e..."
FILE,DOCS/CAW/AMS/AMS-0405-Post-Implementation-Audit.md,AMS-0405-Post-Implementation-Audit.md,N/A,AMS-0405-POST-AUDIT — Post-Implementation Constitutional Audit Report,N/A,** COMPLETE,N/A,** Council Post-Implementation Verification Mandate,N/A,Zyppi,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0405-Post-Implementation-Audit.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 13146 bytes, SHA256 4b22917b6303..."
FILE,DOCS/CAW/AMS/AMS-0406-Acceptance-Audit.md,AMS-0406-Acceptance-Audit.md,N/A,AMS-0406 Acceptance Audit,N/A,N/A,N/A,N/A,N/A,Zyppi,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0406-Acceptance-Audit.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 24269 bytes, SHA256 b65362e8e522..."
FILE,DOCS/CAW/AMS/AMS-0406-Implementation-Notes.md,AMS-0406-Implementation-Notes.md,N/A,AMS-0406 — Runtime Deterministic Replay Proof and Field-Ordering Verifications,N/A,** COMPLETED AND VERIFIED,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0406-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 7548 bytes, SHA256 dc62035ac1e9..."
FILE,DOCS/CAW/AMS/AMS-0407-Acceptance-Audit.md,AMS-0407-Acceptance-Audit.md,N/A,AMS-0407 — Independent Acceptance Audit Report,N/A,** COMPLETED,N/A,N/A,N/A,Zyppi,EVIDENCE,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0407-Acceptance-Audit.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS evidence/closure report,"File size 9285 bytes, SHA256 e9c5c36ec5fa..."
FILE,DOCS/CAW/AMS/AMS-0407-Entropy-Enforcement-Recon.md,AMS-0407-Entropy-Enforcement-Recon.md,N/A,AMS-0407 — Runtime Purity and Entropy Enforcement Reconnaissance,N/A,N/A,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0407-Entropy-Enforcement-Recon.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 26024 bytes, SHA256 039f053d6f9a..."
FILE,DOCS/CAW/AMS/AMS-0407-Implementation-Notes.md,AMS-0407-Implementation-Notes.md,N/A,AMS-0407 — Runtime Purity and Entropy Enforcement Implementation Notes,N/A,N/A,N/A,N/A,N/A,Zyppi,IMPLEMENTATION,N/A,N/A,N/A,PROGRAMS-CAW-AMS,DOCS/PROGRAMS/CAW/AMS/AMS-0407-Implementation-Notes.md,MOVE_TO_TARGET,N/A,MEDIUM,S13B,CAW AMS implementation contract,"File size 6878 bytes, SHA256 67c924499deb..."
